trial,fractal_left,fractal_right,prob_left,prob_right,reward_left,reward_right
1,fig/19.jpg,fig/16.jpg,0.700,0.300,1,1
2,fig/19.jpg,fig/16.jpg,0.740,0.321,1,1
3,fig/19.jpg,fig/16.jpg,0.644,0.250,1,1
4,fig/19.jpg,fig/16.jpg,0.625,0.298,1,1
5,fig/19.jpg,fig/16.jpg,0.588,0.382,1,1
6,fig/19.jpg,fig/16.jpg,0.636,0.379,1,1
7,fig/19.jpg,fig/16.jpg,0.588,0.465,1,1
8,fig/19.jpg,fig/16.jpg,0.565,0.470,1,1
9,fig/19.jpg,fig/16.jpg,0.670,0.515,1,1
10,fig/19.jpg,fig/16.jpg,0.639,0.494,1,1
11,fig/19.jpg,fig/16.jpg,0.750,0.622,1,1
12,fig/19.jpg,fig/16.jpg,0.750,0.426,1,1
13,fig/19.jpg,fig/16.jpg,0.750,0.444,1,1
14,fig/19.jpg,fig/16.jpg,0.632,0.506,1,1
15,fig/19.jpg,fig/16.jpg,0.632,0.568,1,1
16,fig/19.jpg,fig/16.jpg,0.586,0.592,1,1
17,fig/19.jpg,fig/16.jpg,0.568,0.574,1,1
18,fig/19.jpg,fig/16.jpg,0.654,0.612,1,1
19,fig/19.jpg,fig/16.jpg,0.678,0.511,1,1
20,fig/19.jpg,fig/16.jpg,0.671,0.433,1,1
21,fig/19.jpg,fig/16.jpg,0.696,0.476,1,1
22,fig/19.jpg,fig/16.jpg,0.717,0.443,1,1
23,fig/19.jpg,fig/16.jpg,0.597,0.585,1,1
24,fig/19.jpg,fig/16.jpg,0.599,0.622,1,1
25,fig/19.jpg,fig/16.jpg,0.638,0.573,1,1
26,fig/19.jpg,fig/16.jpg,0.531,0.611,1,1
27,fig/19.jpg,fig/16.jpg,0.402,0.421,1,1
28,fig/19.jpg,fig/16.jpg,0.518,0.427,1,1
29,fig/19.jpg,fig/16.jpg,0.521,0.548,1,1
30,fig/19.jpg,fig/16.jpg,0.479,0.516,1,1
31,fig/19.jpg,fig/16.jpg,0.495,0.561,1,1
32,fig/19.jpg,fig/16.jpg,0.524,0.572,1,1
33,fig/19.jpg,fig/16.jpg,0.582,0.526,1,1
34,fig/19.jpg,fig/16.jpg,0.619,0.566,1,1
35,fig/19.jpg,fig/16.jpg,0.579,0.650,1,1
36,fig/19.jpg,fig/16.jpg,0.653,0.545,1,1
37,fig/19.jpg,fig/16.jpg,0.670,0.454,1,1
38,fig/19.jpg,fig/16.jpg,0.733,0.530,1,1
39,fig/19.jpg,fig/16.jpg,0.656,0.649,1,1
40,fig/19.jpg,fig/16.jpg,0.679,0.750,1,1
41,fig/19.jpg,fig/16.jpg,0.736,0.738,1,1
42,fig/19.jpg,fig/16.jpg,0.750,0.672,1,1
43,fig/19.jpg,fig/16.jpg,0.750,0.668,1,1
44,fig/19.jpg,fig/16.jpg,0.750,0.564,1,1
45,fig/19.jpg,fig/16.jpg,0.742,0.664,1,1
46,fig/19.jpg,fig/16.jpg,0.688,0.675,1,1
47,fig/19.jpg,fig/16.jpg,0.750,0.643,1,1
48,fig/19.jpg,fig/16.jpg,0.703,0.608,1,1
49,fig/19.jpg,fig/16.jpg,0.750,0.661,1,1
50,fig/19.jpg,fig/16.jpg,0.714,0.585,1,1
51,fig/19.jpg,fig/16.jpg,0.700,0.651,1,1
52,fig/19.jpg,fig/16.jpg,0.628,0.707,1,1
53,fig/19.jpg,fig/16.jpg,0.716,0.742,1,1
54,fig/19.jpg,fig/16.jpg,0.631,0.598,1,1
55,fig/19.jpg,fig/16.jpg,0.622,0.654,1,1
56,fig/19.jpg,fig/16.jpg,0.658,0.611,1,1
57,fig/19.jpg,fig/16.jpg,0.714,0.697,1,1
